Evaluation,FEN
-0.7,r1bqr1k1/p2n1pp1/1pp2n1p/3p2B1/3P3P/P1PB2N1/2P2PP1/R2Q1K1R b - - 1 13
0.4,r1bqr1k1/p2n1pp1/1pp2n2/3p2p1/3P3P/P1PB2N1/2P2PP1/R2Q1K1R w - - 0 14
0.2,r1bqr1k1/p2n1pp1/1pp2n2/3p2P1/3P4/P1PB2N1/2P2PP1/R2Q1K1R b - - 0 14
5.6,r1bqr1k1/p2n1ppn/1pp5/3p2P1/3P4/P1PB2N1/2P2PP1/R2Q1K1R w - - 1 15
5.4,r1bqr1k1/p2n1ppB/1pp5/3p2P1/3P4/P1P3N1/2P2PP1/R2Q1K1R b - - 0 15
6.3,r1bqrk2/p2n1ppB/1pp5/3p2P1/3P4/P1P3N1/2P2PP1/R2Q1K1R w - - 1 16
6.7,r1bqrk2/p2n1pp1/1pp5/3p2P1/3P4/P1PB2N1/2P2PP1/R2Q1K1R b - - 2 16
6.9,r1bqrk2/p2n1p2/1pp3p1/3p2P1/3P4/P1PB2N1/2P2PP1/R2Q1K1R w - - 0 17
6.9,r1bqrk2/p2n1p2/1pp3p1/3p2P1/3P4/P1PB1QN1/2P2PP1/R4K1R b - - 1 17
6.7,r1bqr3/p2n1pk1/1pp3p1/3p2P1/3P4/P1PB1QN1/2P2PP1/R4K1R w - - 2 18
6.8,r1bqr3/p2n1pkR/1pp3p1/3p2P1/3P4/P1PB1QN1/2P2PP1/R4K2 b - - 3 18
6.8,r1bqr3/p2n1p1k/1pp3p1/3p2P1/3P4/P1PB1QN1/2P2PP1/R4K2 w - - 0 19
6.8,r1bqr3/p2n1Q1k/1pp3p1/3p2P1/3P4/P1PB2N1/2P2PP1/R4K2 b - - 0 19
7.3,r1bqr2k/p2n1Q2/1pp3p1/3p2P1/3P4/P1PB2N1/2P2PP1/R4K2 w - - 1 20
7.3,r1bqr2k/p2n4/1pp3Q1/3p2P1/3P4/P1PB2N1/2P2PP1/R4K2 b - - 0 20
